Challenge,challange1,challange1,challange2,challange2,challange3,challange3,challange4,challange4,challange5,challange5,challange6,challange6,challange7,challange7,challange8,challange8,challange9,challange9,challange10,challange10,Total_MAE,Total_Accuracy
 ,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,,
dummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CookieMonster_2,0.3,0.728,0.384,0.672,0.43820224700000004,0.588014981,0.114,0.912,0.6759999999999999,0.386,2.082,0.406,0.8740000000000001,0.22,0.47,0.64,0.38529411799999996,0.629411765,0.324,0.722,0.6047496365,0.5903426745999999
CookieMonster,0.3,0.728,0.384,0.672,0.43820224700000004,0.588014981,0.114,0.912,0.6759999999999999,0.386,2.082,0.406,0.8740000000000001,0.22,0.47,0.64,0.38529411799999996,0.629411765,0.324,0.722,0.6047496365,0.5903426745999999
nlp-magic-encoder,0.3636363636363636,0.6818181818181818,0.0,1.0,0.3636363636363636,0.6363636363636364,0.037037037037037,0.9629629629629628,0.625,0.375,2.6666666666666665,0.3333333333333333,0.7730061349693251,0.2760736196319018,0.45,0.6579999999999999,0.4615384615384615,0.5384615384615384,0.3235294117647059,0.7352941176470589,0.6064050439248923,0.6197307390218613
alexvincentmorgan,0.364,0.682,0.408,0.664,0.464419476,0.595505618,0.136,0.9279999999999999,0.74,0.324,1.942,0.44,0.828,0.294,0.47200000000000003,0.644,0.41176470600000004,0.623529412,0.33399999999999996,0.732,0.6100184181999999,0.592703503
lbert,0.32,0.708,0.376,0.6759999999999999,0.441947566,0.621722846,0.182,0.868,0.6779999999999999,0.386,2.1180000000000003,0.35600000000000004,0.8140000000000001,0.298,0.486,0.624,0.420588235,0.6,0.314,0.746,0.6150535801,0.5883722845999999
one_shot_tomato,0.33,0.716,0.312,0.7140000000000001,0.449438202,0.597378277,0.10800000000000001,0.92,0.6559999999999999,0.408,2.2119999999999997,0.37799999999999995,0.9179999999999999,0.188,0.442,0.6559999999999999,0.43529411799999995,0.6,0.35,0.716,0.6212732319999998,0.5893378277
one_shot_tomato_2,0.33,0.716,0.312,0.7140000000000001,0.449438202,0.597378277,0.10800000000000001,0.92,0.6559999999999999,0.408,2.2119999999999997,0.37799999999999995,0.9179999999999999,0.188,0.442,0.6559999999999999,0.43529411799999995,0.6,0.35,0.716,0.6212732319999998,0.5893378277
CookieMonster_3,0.364,0.654,0.43,0.636,0.4157303370786517,0.602996254681648,0.256,0.78,0.424,0.5920000000000001,2.206,0.24,0.86,0.214,0.49,0.602,0.5,0.5264705882352941,0.33,0.71,0.6275730337078652,0.5557466842916943
team_adv,0.956,0.5539999999999999,0.35600000000000004,0.672,0.3801498127340824,0.6610486891385767,0.17800000000000002,0.862,0.542,0.494,2.138,0.38,0.8320000000000001,0.22,0.428,0.654,0.388235294117647,0.6352941176470588,0.28800000000000003,0.75,0.648638510685173,0.5882342806785635
bagofwords,0.746,0.604,0.38,0.662,0.4569288389513108,0.6048689138576779,0.142,0.904,0.636,0.43200000000000005,2.134,0.39,0.884,0.212,0.44799999999999995,0.64,0.4117647058823529,0.6147058823529412,0.322,0.722,0.6560693544833665,0.578557479621062
BearLabs,0.6579999999999999,0.58,0.39399999999999996,0.634,0.3801498127340824,0.6441947565543071,0.27,0.748,0.35600000000000004,0.67,2.342,0.222,0.85,0.20800000000000002,0.518,0.5760000000000001,0.4823529411764706,0.5352941176470588,0.336,0.6920000000000001,0.6586502753910553,0.5509488874201367
W_and_T,0.82,0.584,0.36,0.6779999999999999,0.45505618,0.608614232,0.184,0.89,0.682,0.402,2.12,0.392,0.882,0.22399999999999998,0.444,0.648,0.38529411799999996,0.635294118,0.336,0.722,0.6668350298000001,0.5783908350000001
teamname_2,0.402,0.672,0.528,0.624,0.43820224700000004,0.610486891,0.188,0.8740000000000001,0.61,0.46799999999999997,2.202,0.366,0.872,0.33399999999999996,0.498,0.642,0.570588235,0.5470588239999999,0.42200000000000004,0.664,0.6730790482,0.5801545714999998
teamname,0.402,0.0,0.528,0.0,0.43820224700000004,0.0,0.188,0.0,0.61,0.0,2.202,0.0,0.872,0.0,0.498,0.0,0.570588235,0.0,0.42200000000000004,0.0,0.6730790482,0.0
IAmBERT1,0.73,0.594,0.508,0.648,0.45318352100000003,0.604868914,0.168,0.9,0.716,0.366,2.15,0.40399999999999997,0.9059999999999999,0.18,0.544,0.63,0.388235294,0.635294118,0.32,0.7240000000000001,0.6883418815000001,0.5686163032
ok_5,0.516,0.518,0.534,0.522,0.513108614,0.546816479,0.1,0.932,0.69,0.34,2.1,0.174,0.828,0.308,0.546,0.514,0.602941176,0.432352941,0.466,0.588,0.6896049790000001,0.48751694199999995
ok_5_2,0.516,0.518,0.534,0.522,0.513108614,0.546816479,0.1,0.932,0.69,0.34,2.1,0.174,0.828,0.308,0.546,0.514,0.602941176,0.432352941,0.466,0.588,0.6896049790000001,0.48751694199999995
W_and_T_2,0.838,0.54,0.488,0.574,0.449438202,0.593632959,0.254,0.774,0.418,0.61,2.168,0.248,0.882,0.22,0.496,0.588,0.5352941179999999,0.502941176,0.384,0.66,0.691273232,0.5310574134999999
veggieB,0.45399999999999996,0.6459999999999999,0.41,0.6679999999999999,0.4531835205992509,0.6161048689138576,0.168,0.9059999999999999,0.758,0.344,2.37,0.392,0.898,0.244,0.46,0.648,0.5823529411764706,0.5764705882352941,0.38,0.698,0.6933536461775722,0.5738575457149151
tring,0.524,0.616,0.44,0.672,0.597378277,0.5074906370000001,0.304,0.8759999999999999,0.948,0.244,2.052,0.446,0.946,0.312,0.52,0.638,0.591176471,0.567647059,0.502,0.6459999999999999,0.7424554748000001,0.5525137695999999
FewThoughtsHeadEmpty,0.409090909,0.651515152,0.0,1.0,0.409090909,0.659090909,0.074074074,0.9259259259999999,1.083333333,0.0,2.666666667,0.333333333,1.0368098159999999,0.17177914100000002,0.516,0.634,0.7435897440000001,0.41025641,0.5,0.661764706,0.7438655452,0.5447665577
tsquad,0.496,0.6579999999999999,0.552,0.606,0.72659176,0.496254682,0.37,0.86,0.972,0.26,1.788,0.466,0.97,0.27399999999999997,0.444,0.634,0.641176471,0.505882353,0.611731844,0.603351955,0.7571500074999999,0.5363488989999998
QJR,0.924,0.54,0.556,0.606,0.511235955,0.5749063670000001,0.218,0.894,0.898,0.292,2.37,0.35600000000000004,0.88,0.254,0.484,0.65,0.502941176,0.588235294,0.42,0.672,0.7764177131000001,0.5427141660999999
wordbrains,,0.0,0.754,0.564,,0.0,0.222,0.894,0.888,0.278,2.27,0.386,0.894,0.28600000000000003,0.506,0.6459999999999999,0.4411764705882353,0.6176470588235294,0.376,0.7,0.7938970588235295,0.43716470588235296
QJR_4,1.0979999999999999,0.462,0.5760000000000001,0.546,0.4868913857677903,0.5767790262172284,0.37200000000000005,0.726,0.5760000000000001,0.522,2.34,0.256,0.9359999999999999,0.23,0.5760000000000001,0.532,0.6176470588235294,0.5117647058823529,0.436,0.63,0.801453844459132,0.49925437320995814
QJR_3,1.1840000000000002,0.43799999999999994,0.5720000000000001,0.536,0.49438202200000003,0.571161049,0.344,0.75,0.59,0.502,2.324,0.266,0.9179999999999999,0.22399999999999998,0.584,0.522,0.629411765,0.488235294,0.45,0.616,0.8089793786999999,0.49133963429999994
QJR_2,0.9840000000000001,0.518,0.596,0.556,0.546816479,0.552434457,0.268,0.866,0.9259999999999999,0.294,2.35,0.34600000000000003,0.9279999999999999,0.244,0.546,0.616,0.591176471,0.544117647,0.428,0.68,0.8163992950000001,0.5216552104
mz_dd,1.4210526315789471,0.3684210526315789,0.7368421052631579,0.5789473684210527,0.4210526315789473,0.6842105263157895,0.1052631578947368,0.8947368421052632,0.8947368421052632,0.2105263157894736,2.1052631578947367,0.4736842105263157,0.8947368421052632,0.1578947368421052,0.631578947368421,0.5263157894736842,0.5263157894736842,0.4736842105263157,0.4736842105263157,0.6842105263157895,0.8210526315789473,0.5052631578947369
turtlecheetah_2,1.43,0.392,0.604,0.546,0.5262172284644194,0.5355805243445693,0.326,0.738,0.506,0.5379999999999999,2.458,0.196,0.9520000000000001,0.21600000000000003,0.578,0.54,0.5941176470588235,0.5058823529411764,0.43799999999999994,0.642,0.8412334875523243,0.4849462877285746
RCHM_1,,0.0,1.0,0.0,0.4545454545454545,0.5909090909090909,0.037037037037037,0.9629629629629628,0.9583333333333334,0.1666666666666666,2.6666666666666665,0.3333333333333333,,0.0,,0.0,0.3846153846153846,0.6153846153846154,,0.0,0.916866312699646,0.2669256669256669
abcfg,1.466,0.42,0.742,0.574,0.74906367,0.470037453,0.21600000000000003,0.922,1.194,0.026000000000000002,2.516,0.34,1.1520000000000001,0.29,0.662,0.606,0.805882353,0.505882353,0.6559999999999999,0.614,1.0158946023,0.4767919806
abcfg_2,1.472,0.414,0.706,0.588,0.7808988764044944,0.4606741573033708,0.368,0.89,1.3519999999999999,0.018000000000000002,2.4219999999999997,0.368,1.122,0.272,0.628,0.606,0.7352941176470589,0.5176470588235295,0.644,0.614,1.023019299405155,0.47483212161269
slow_loris2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.2154882154882154,0.2087542087542087,,0.0,,0.0,1.2154882154882154,0.02087542087542087
tsquad2,1.5652173913043481,0.2608695652173913,2.0,0.1304347826086956,1.75,0.2291666666666666,0.2608695652173913,0.8695652173913043,1.0434782608695652,0.1521739130434782,1.608695652173913,0.5,1.1304347826086956,0.2608695652173913,1.4347826086956519,0.3695652173913043,0.9722222222222222,0.3611111111111111,1.9347826086956519,0.1739130434782608,1.370048309178744,0.33076690821256033
turtlecheetah,1.51,0.374,1.82,0.354,1.258426966,0.355805243,0.013999999999999999,0.996,1.032,0.0,2.318,0.414,2.096,0.146,1.8780000000000001,0.364,1.4647058819999998,0.394117647,1.506,0.408,1.4897132848,0.380592289
very_slow_loris,1.53,0.154,1.444,0.174,1.228464419475655,0.23220973782771534,2.046,0.002,1.026,0.226,2.0121654501216546,0.0583941605839416,1.33,0.302,1.4713804713804717,0.1919191919191919,1.473529411764706,0.16470588235294115,1.5859999999999999,0.158,1.5147539752742487,0.16632289726837896
slow_loris,1.4980000000000002,0.396,1.412,0.42200000000000004,2.065543071,0.149812734,2.9819999999999998,0.254,2.5540000000000003,0.0,1.834549878,0.540145985,1.686,0.316,1.34006734,0.461279461,1.220588235,0.405882353,1.6780000000000002,0.364,1.8270748524000002,0.33091205329999995
ACE,2.582,0.168,2.57,0.174,1.8782771535580525,0.2247191011235955,1.68,0.58,2.728,0.0,2.454,0.386,2.582,0.094,2.782,0.156,0.7558823529411764,0.4911764705882352,1.3780000000000001,0.43,2.139015950649923,0.27038955717118307
